file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,257,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,258,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,11
style.css,259,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,69
style.css,260,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,39
style.css,261,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,25
style.css,262,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,25
style.css,263,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,20
style.css,264,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,265,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,13
style.css,266,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,17
style.css,267,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,10
style.css,268,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,10
style.css,269,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,13
style.css,270,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,271,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,15
style.css,272,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,50
style.css,273,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,39
style.css,274,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,18
style.css,275,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,32
style.css,276,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,17
style.css,277,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,278,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,8
style.css,279,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,5
style.css,280,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,15
style.css,281,css,8487b3aa,Surya Setty,2025-05-09,19:26:55,-07:00,2025-05-09T19:26:55-07:00,0,0
style.css,282,css,7349bd6a,Surya Setty,2025-05-09,22:11:04,-07:00,2025-05-09T22:11:04-07:00,0,9
style.css,283,css,8487b3aa,Surya Setty,2025-05-09,19:26:55,-07:00,2025-05-09T19:26:55-07:00,0,6
